stop_name,lat,lon,Zip_Codes
5000 Menchaca/Jones,30.220975,-97.794067,78745
5322 Menchaca/Inverness,30.217803000000004,-97.79599499999999,78745
5532 Menchaca/Stassney,30.216058,-97.797163,78745
5720 Menchaca/Whitestone,30.214391,-97.79951899999999,78745
6212 Menchaca/Berkett,30.210671,-97.803629,78745
6372 Menchaca/Berkeley,30.208952000000004,-97.804711,78745
6514 Menchaca/Miles,30.207078000000003,-97.80593,78745
Menchaca/William Cannon SW Corner,30.202030999999998,-97.807163,78745
Menchaca/William Cannon SE Corner,30.202687,-97.806816,78745
6601 Menchaca/Miles,30.206901000000002,-97.805837,78745
6305 Menchaca/Berkeley,30.209018,-97.804497,78745
6001 Menchaca/Independence,30.212809999999998,-97.80188299999999,78745
5701 Menchaca/Whitestone,30.214491,-97.798856,78745
5309 Menchaca/Fair Oaks,30.219059,-97.79499799999999,78745
4301 Menchaca/Fort View,30.230859999999996,-97.787599,78704
3909 Menchaca/Prather,30.234049,-97.785514,78704
3505 Menchaca/Larchmont,30.238295,-97.782915,78704
3201 Menchaca/Glen Allen,30.240512,-97.782084,78704
2639 Lamar/Dickson,30.245377,-97.77969300000001,78704
2401 Lamar/Bluebonnet,30.246752,-97.777395,78704
2201 Lamar/Kinney,30.247279,-97.77427800000001,78704
1417 Lamar/Cinco,30.252289,-97.763972,78704
Lamar Square Station (NB),30.254034000000004,-97.762592,78704
Barton Springs Station (NB),30.261634,-97.758053,78704
3105 Lamar/31st,30.30053,-97.745954,78705
3317 Lamar/34th,30.302553000000003,-97.744683,78705
38th/Medical Pkwy,30.305685999999998,-97.743879,78756
Medical Pkwy/41st,30.309731,-97.742576,78756
Medical Pkwy/44th,30.314054,-97.741916,78756
Burnet/45th,30.316,-97.741026,78756
Burnet/49th,30.320494,-97.739145,78756
5011 Burnet/Hancock,30.321765999999997,-97.739242,78756
North Loop Station (NB),30.326284,-97.739566,78756
Burnet/Houston,30.328765999999998,-97.739742,78756
Burnet/Adams,30.330446000000002,-97.739876,78756
5621 Burnet/Northland,30.332384,-97.739997,78756
Allandale Station (NB),30.3342,-97.7398,78756
6425 Burnet/Whitehorse,30.33997,-97.7389,78757
Justin Station (NB),30.345183000000002,-97.73755,78757
Burnet/Greenlawn Pkwy,30.348509999999997,-97.73545,78757
7439 Burnet/Richcreek,30.3504,-97.73424,78757
Northcross Station (NB),30.353858000000002,-97.73208100000001,78757
Northcross Mall,30.355782,-97.734268,78757
ACC Riverside Campus Stop,30.236201,-97.70484599999999,78741
Hogan/Community,30.236459000000004,-97.701552,78741
1214 Montopolis/Larch,30.232434,-97.698769,78741
2700 7th/Calles,30.260665000000003,-97.71152099999999,78702
2500 7th/Pedernales,30.260963,-97.71356,78702
11th/San Jacinto SW Corner,30.272,-97.73883599999999,78701
Trinity/12th,30.272709000000003,-97.73715,78701
Trinity/17th,30.277788,-97.735271,78701
1509 Martin Luther King/Comal,30.279073999999998,-97.724701,78702
1813 Martin Luther King/Chicon,30.279695,-97.721372,78702
2207 Martin Luther King/Ferdinand,30.28023,-97.718137,78702
2401 Martin Luther King/Maple,30.280586,-97.715949,78702
2615 Martin Luther King/Walnut,30.280972,-97.713458,78702
2915 Martin Luther King/Clifford,30.281869,-97.707799,78702
2945 Martin Luther King/Harvey,30.282207,-97.70565,78702
3431 Martin Luther King/Greenwood,30.283317999999998,-97.698197,78721
3601 Martin Luther King/EM Franklin,30.283699,-97.695712,78721
3815 Martin Luther King/Perez,30.284090999999997,-97.693161,78721
Martin Luther King/Springdale,30.285690000000002,-97.68292,78721
4600 Martin Luther King/Springdale,30.285994,-97.68224599999999,78723
3900 Martin Luther King/Perez,30.284342,-97.69295100000001,78723
3300 Martin Luther King/Tillery,30.283021999999995,-97.701544,78723
2700 Martin Luther King/Walnut,30.281129999999997,-97.713317,78722
2300 Martin Luther King/Chestnut,30.280549,-97.717136,78722
1900 Martin Luther King/Chicon,30.279877000000003,-97.721101,78722
1700 Martin Luther King/Leona,30.279502,-97.723095,78702
1498 Martin Luther King/Comal,30.279075,-97.725602,78722
San Jacinto/17th,30.278165,-97.736503,78701
San Jacinto/14th,30.275451,-97.737526,78701
San Jacinto/12th,30.273386,-97.73828,78701
San Jacinto/11th,30.272213,-97.738718,78701
IH-35/East 7th,30.266895,-97.735299,78701
7th/San Marcos,30.265971,-97.732268,78702
7th/Navasota,30.264583000000002,-97.728178,78702
Chicon/East 7th,30.262511,-97.722327,78702
7th/Robert T Martinez Jr,30.261532,-97.718195,78702
2425 7th/Pedernales,30.260851000000002,-97.713904,78702
2621 7th/Calles,30.260533000000002,-97.711831,78702
2789 7th/Pleasant Valley,30.260046000000003,-97.709625,78702
3223 7th/Allen,30.257758000000003,-97.704514,78702
3535 7th/Springdale,30.256025,-97.701819,78702
5021 7th/Shady,30.253396999999996,-97.697886,78702
618 Vargas/Ponca,30.235736,-97.692557,78741
6306 Riverside/Montopolis,30.224996,-97.703124,78741
6000 Riverside/Clubview,30.226585999999998,-97.706711,78741
1101 Grove (ACC Riverside),30.235008,-97.70417900000001,78741
2007 Anderson/Burnet,30.354471999999998,-97.727616,78757
